学号,姓名,C语言成绩,高数成绩,思修成绩,计算机基础成绩
2023001,赵军,75,67,92,82
2023002,赵芳,61,59,73,70
2023003,陈芳,69,54,80,100
2023004,杨磊,86,51,71,62
2023005,周静,81,44,85,78
2023006,陈军,63,76,86,70
2023007,吴芳,76,82,90,63
2023008,张磊,86,84,83,67
2023009,李伟,76,68,67,79
2023010,吴军,82,70,92,74
2023011,李强,76,62,97,78
2023012,陈伟,75,54,86,98
2023013,刘静,78,75,81,72
2023014,陈敏,98,63,83,71
2023015,刘敏,74,84,72,82
2023016,黄芳,87,74,92,85
2023017,赵军,65,78,62,91
2023018,王磊,73,61,63,77
2023019,杨磊,67,66,75,69
2023020,吴伟,58,76,71,63
2023021,赵娜,74,56,100,71
2023022,张娜,71,79,95,77
2023023,刘磊,67,75,68,59
2023024,张秀英,68,91,94,65
2023025,赵娜,78,57,94,70
2023026,陈娜,88,70,84,63
2023027,杨芳,60,76,77,73
2023028,周强,66,40,100,86
2023029,王秀英,68,63,100,100
2023030,陈秀英,80,91,87,80
2023031,刘军,69,68,68,84
2023032,王伟,86,75,56,80
2023033,王强,73,91,67,96
2023034,赵芳,79,68,73,68
2023035,赵秀英,59,69,72,61
2023036,张伟,70,71,96,79
2023037,刘秀英,75,67,64,71
2023038,李秀英,77,80,92,75
2023039,陈伟,64,89,71,74
2023040,王敏,52,82,92,61
2023041,杨伟,51,68,78,62
2023042,周军,76,85,88,52
2023043,吴磊,89,84,96,51
2023044,黄敏,64,66,84,99
2023045,陈丽,62,59,86,67
2023046,周娜,72,75,83,97
2023047,赵芳,75,83,82,83
2023048,刘芳,63,56,100,83
2023049,刘丽,96,69,81,96
2023050,李伟,79,55,95,87
